"","Address.","Bathrooms.","Bedrooms.","Built.Year.","Developer.","District.","last_updated","Property.Name.","nearest_mrt_name","neighbourhood","PSF.","Property.Type.","Asking.","Area.","Area.Builtup","Area.Land","Tenure.","title","total_units","travel_time_changi","travel_time_orchard","travel_time_raffles","unit_types","no._of_bedrooms","Furnish.","Floor.","overlooking_view","facing"
"74",NA,"2","3","2013","HDB","Hougang / Punggol / Sengkang (D19)","5 days ago","Punggol Sapphire","Soo Teck MRT","Punggol",3.89,"HDB 3 Rooms",4000,"1,028 sqft",1028,NA,"99 Years","HDB Flat for Rent in 269B Punggol Field",NA,43,43,42,"2, 3, 4 BR","3",NA,NA,NA,NA
"75","1 Woodlands Drive 72","3","3","2000",NA,"Admiralty / Woodlands (D25)","4 days ago","Woodsvale","Admiralty MRT","Woodlands",3.5,"Condo Whole Unit",4600,"1,313 sqft",1313,NA,"99 Years","3 Bed Condo for Rent in Woodsvale","696",62,42,48,"1, 3, 4 BR",NA,NA,NA,NA,NA
"76","1 Fraser Street","3","3","2017","M+S Pte Ltd (A Company Owned By Khazanah And Temasek)","Beach Road / Bugis / Rochor (D7)","22 days ago","Duo Residences / Duo Tower","Bugis MRT",NA,5.57,"Condo Whole Unit",9600,"1,722 sqft",1722,NA,"99 Years","3 Bed Condo for Rent in Duo Residences / Duo Tower","660",50,20,12,"Studio, 1, 2, 3, 4 BR",NA,"Partial","High",NA,"South East"
"77","Luxus Hill Drive","5","5","2013","Singapore United Estates Pte Ltd","Seletar / Yio Chu Kang (D28)","8 days ago","Luxus Hills",NA,"Serangoon",6.81,"Terraced House",11000,"3,800 sqft (built-up) / 1,615 sqft (land)",3800,1615,"999 Years","5 Bed House for Rent in Luxus Hills","78",52,40,46,"4, 5, 6 BR",NA,NA,NA,NA,NA
"78",NA,"1","1","1998","HDB","Admiralty / Woodlands (D25)","8 days ago","HDB-Woodlands","Woodlands MRT","Woodlands",6.25,"HDB",1750,"280 sqft",280,NA,"99 Years","HDB Flat for Rent in 803 Woodlands Street 81",NA,63,43,48,"Studio, 1, 2, 3, 4, 5, 6, 7 BR","1",NA,NA,NA,NA
"79",NA,"2","2","1978","HDB","Buona Vista / West Coast / Clementi (D5)","3 days ago","West Coast Vista","Clementi MRT","Clementi",3.88,"HDB",2800,"721 sqft",721,NA,"99 Years","HDB Flat for Rent in 506 West Coast Drive",NA,NA,NA,NA,"1, 2, 3, 4, 5 BR","2",NA,NA,NA,NA
"80",NA,"2","2","1998","HDB","Balestier / Toa Payoh (D12)","14 days ago","Toa Payoh Court",NA,"Toa Payoh",4.79,"HDB 3 Rooms",3400,"710 sqft",710,NA,"99 Years","HDB Flat for Rent in 8 Lorong 7 Toa Payoh",NA,74,29,34,"1, 2, 3, 4 BR","2",NA,NA,NA,NA
"81",NA,"2","3","2003","HDB","Hougang / Punggol / Sengkang (D19)","15 days ago","Punggol Grove","Cove MRT","Punggol",3,"HDB",3600,"1,200 sqft",1200,NA,"99 Years","HDB Flat for Rent in 296 Punggol Central",NA,43,43,42,"Studio, 3 BR","3",NA,NA,NA,NA
"82","Lentor Crescent","6","5","1998","Tong Lee Company Pte Ltd","Mandai / Upper Thomson (D26)","24 days ago","Lentor Villas",NA,"Ang Mo Kio",3.74,"Terraced House",7000,"3,444 sqft (built-up) / 1,873 sqft (land)",3444,1873,"Freehold","5 Bed House for Rent in Lentor Villas","185",52,39,44,"4, 5, 6 BR",NA,NA,NA,NA,NA
"83","15B Balmoral Road","2","2","2004","Capitaland","Tanglin / Holland (D10)","2 hrs ago","Belmond Green","Newton MRT","Tanglin",5,"Condo Whole Unit",4900,"980 sqft",980,NA,"Freehold","2 Bed Condo for Rent in Belmond Green","211",61,14,23,"2, 3, 4 BR",NA,"Partial","High",NA,"South East"
"84","239 Upper Paya Lebar Road","1","1","2019",NA,"Hougang / Punggol / Sengkang (D19)","21 hrs ago","Botanique At Bartley","Bartley MRT","Serangoon",7.43,"Condo Whole Unit",2600,"350 sqft",350,NA,"99 Years","Studio Condo for Rent in Botanique At Bartley","797",NA,NA,NA,"Studio, 1, 2, 3, 4 BR",NA,"Fully","Low","Greenery view",NA
"85",NA,"3","4",NA,NA,"East Coast / Marine Parade (D15)","8 days ago",NA,NA,NA,5.04,"Terraced House",11688,"1,800 sqft (built-up) / 2,319 sqft (land)",1800,2319,NA,"4 Bed House for Rent in Duku Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","900 Sims Avenue","1","1","2022","MCL Land Limited","Eunos / Geylang / Paya Lebar (D14)","6 days ago","Parc Esta","Eunos MRT","Geylang",7.59,"Condo Whole Unit",4000,"527 sqft",527,NA,"99 Years","1 Bed Condo for Rent in Parc Esta","1399",37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,"Unfurnished",NA,NA,NA
"87","1 Fraser Street","1","1","2017","M+S Pte Ltd (A Company Owned By Khazanah And Temasek)","Beach Road / Bugis / Rochor (D7)","8 days ago","Duo Residences / Duo Tower","Bugis MRT",NA,8.93,"Condo Whole Unit",5000,"560 sqft",560,NA,"99 Years","1 Bed Condo for Rent in Duo Residences / Duo Tower","660",50,20,12,"Studio, 1, 2, 3, 4 BR",NA,"Fully","Low",NA,"North East"
"88",NA,"2","2","1981","HDB","Balestier / Toa Payoh (D12)","7 days ago","HDB-Kallang/Whampoa",NA,"Kallang",5.12,"HDB 2 Rooms",3300,"645 sqft",645,NA,"99 Years","HDB Flat for Rent in 72 Geylang Bahru",NA,46,34,26,"1, 2, 3, 4, 5, 6 BR","2",NA,NA,NA,NA
"89","35 Jurong East Avenue 1","3","4","1995","Marcobilt Developers Pte Ltd (Marco Polo Developments)","Boon Lay / Jurong / Tuas (D22)","6 days ago","Parc Oasis","Chinese Garden MRT","Jurong East",3.99,"Condo Whole Unit",5500,"1,378 sqft",1378,NA,"99 Years","4 Bed Condo for Rent in Parc Oasis","950",78,39,31,"Studio, 2, 3, 4 BR",NA,NA,NA,NA,NA
"90","46 Ceylon Road","2","2","2008","Everspring Realty Pte Ltd","East Coast / Marine Parade (D15)","9 days ago","Bellezza @ Katong",NA,"Marine Parade",5.57,"Apartment Whole Unit",4800,"861 sqft",861,NA,"Freehold","2 Bed Condo for Rent in Bellezza @ Katong","24",46,34,31,"1, 2, 3 BR",NA,NA,NA,NA,NA
"91","61 Cairnhill Circle","2","2","2015",NA,"Orchard / River Valley (D9)","4 days ago","The Peak @ Cairnhill II","Newton MRT","Newton",7.74,"Condo Whole Unit",7000,"904 sqft",904,NA,"Freehold","2 Bed Condo for Rent in The Peak @ Cairnhill II","62",58,14,20,"1, 2, 3 BR",NA,"Partial","Low",NA,NA
"92","9 Cairnhill Road","1","2","2017","CH Residential Pte Ltd & CH Commercial Pte Ltd","Orchard / River Valley (D9)","9 days ago","Cairnhill Nine","Somerset MRT","Orchard",9.15,"Condo Whole Unit",6800,"743 sqft",743,NA,"99 Years","2 Bed Condo for Rent in Cairnhill Nine","268",49,13,15,"Studio, 1, 2, 3, 4 BR",NA,"Fully",NA,NA,NA
"93",NA,"2","3","1979","HDB","Ang Mo Kio / Bishan / Thomson (D20)","1 day ago","Cheng San Court","Ang Mo Kio MRT","Ang Mo Kio",3.68,"HDB 3 Rooms",3500,"950 sqft",950,NA,"99 Years","HDB Flat for Rent in 586 Ang Mo Kio Avenue 3","2612",NA,NA,NA,"2, 3 BR","3",NA,NA,NA,NA
"94","83 Flora Drive","3","4","2014","Tripartite Developers Pte Ltd","Changi Airport / Changi Village (D17)","1 min ago","Hedges Park Condominium",NA,"Pasir Ris",3.77,"Condo Whole Unit",6000,"1,593 sqft",1593,NA,"99 Years","4 Bed Condo for Rent in Hedges Park Condominium","501",36,55,49,"1, 2, 3, 4 BR",NA,"Partial",NA,NA,NA
"95","13 Bartley Road","1","2","2016","Bartley Homes Pte. Ltd","Hougang / Punggol / Sengkang (D19)","6 days ago","The Quinn","Serangoon MRT","Serangoon",6.25,"Apartment Whole Unit",3500,"560 sqft",560,NA,"Freehold","2 Bed Condo for Rent in The Quinn","139",58,30,30,"1, 2, 3, 4 BR",NA,"Partial","Low",NA,NA
"96",NA,"2","2","1985",NA,"Sembawang / Yishun (D27)","2 days ago","154 Yishun Street 11","Yishun MRT","Yishun",2.75,"HDB 4 Rooms",2900,"1,054 sqft",1054,NA,NA,"HDB Flat for Rent in 154 Yishun Street 11","88",NA,NA,NA,NA,"2",NA,NA,NA,NA
"97","9 Simei Street 4","2","3","1999","NTUC Choice Homes Co-Operative Ltd","Pasir Ris / Tampines (D18)","12 days ago","Simei Green Condominium","Simei MRT","Tampines",4.79,"Condo Whole Unit",4500,"939 sqft",939,NA,"99 Years","3 Bed Condo for Rent in Simei Green Condominium","602",27,44,36,"2, 3, 4 BR",NA,NA,NA,NA,NA
"98","176 Orchard Road","2","2","1983",NA,"Orchard / River Valley (D9)","14 days ago","The Centrepoint","Somerset MRT","Orchard",5.62,"Apartment Whole Unit",4500,"800 sqft",800,NA,"99 Years","2 Bed Condo for Rent in The Centrepoint","66",50,10,12,"Studio, 1, 2 BR",NA,"Partial",NA,NA,NA
"99","450 Corporation Road","3","3","1998","Parc Vista (Far East Organization & Capitaland)","Boon Lay / Jurong / Tuas (D22)","3 hrs ago","Parc Vista","Lakeside MRT","Jurong West",3.29,"Condo Whole Unit",5000,"1,518 sqft",1518,NA,"99 Years","3 Bed Condo for Rent in Parc Vista","638",NA,NA,NA,"Studio, 1, 2, 3, 4 BR",NA,"Partial","Penthouse",NA,NA
"100","1 Bedok South Avenue 3","1","1","2020","CEL Residential Development Pte. Ltd.","Bedok / Upper East Coast (D16)","1 day ago","Grandeur Park Residences","Tanah Merah MRT","Bedok",8.33,"Condo Whole Unit",3500,"420 sqft",420,NA,"99 Years","Studio Condo for Rent in Grandeur Park Residences","722",NA,NA,NA,"Studio, 1, 2, 3, 4, 5 BR",NA,"Fully","High",NA,NA
"101","902 Sims Avenue","1","1","2022","MCL Land Limited","Eunos / Geylang / Paya Lebar (D14)","4 days ago","Parc Esta","Eunos MRT","Geylang",8.81,"Condo Whole Unit",3700,"420 sqft",420,NA,"99 Years","1 Bed Condo for Rent in Parc Esta","1399",37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"102",NA,"1","2","1995",NA,"Boon Lay / Jurong / Tuas (D22)","2 days ago","733 Jurong West Street 73","Pioneer MRT","Jurong West",3.5,"HDB 4 Rooms",2800,"800 sqft",800,NA,NA,"HDB Flat for Rent in 733 Jurong West Street 73","92",99,55,52,NA,"2","Fully",NA,NA,NA
"103","77 Upper East Coast Road","4","4","2022","KDC (77) Development Pte. Ltd. (KTC Group)","East Coast / Marine Parade (D15)","1 day ago","77 @ East Coast","Siglap MRT","Bedok",6.09,"Apartment Whole Unit",8200,"1,346 sqft",1346,NA,"Freehold","4 Bed Condo for Rent in 77 @ East Coast","41",40,43,36,"1, 2, 3, 4, 5 BR",NA,"Partial",NA,NA,NA
"104","15 Ardmore Park","4","4","2001","Marco Polo Developments Ltd","Tanglin / Holland (D10)","1 month ago","Ardmore Park","Orchard MRT","Newton",6.93,"Condo Whole Unit",20000,"2,885 sqft",2885,NA,"Freehold","4 Bed Condo for Rent in Ardmore Park","330",55,13,25,"2, 4, 5 BR",NA,"Partial","Mid","Greenery view","North"
"105","176A Orchard Road","1","1","1983",NA,"Orchard / River Valley (D9)","2 days ago","The Centrepoint","Somerset MRT","Orchard",6.44,"Apartment Whole Unit",4788,"743 sqft",743,NA,"99 Years","1 Bed Condo for Rent in The Centrepoint","66",50,10,12,"Studio, 1, 2 BR",NA,NA,NA,NA,NA
"106","23 Angullia Park","3","4","2015","Far East Organization","Orchard / River Valley (D9)","1 month ago","Skyline @ Orchard Boulevard","Orchard MRT","River Valley",6.53,"Condo Whole Unit",13500,"2,067 sqft",2067,NA,"Freehold","4 Bed Condo for Rent in Skyline @ Orchard Boulevard","40",55,5,15,"2, 3, 4, 5, 6 BR",NA,"Partial",NA,NA,NA
"107","12 Hougang Street 92","2","3","2000","Serenity Properties Pte Ltd (Far East Organization)","Hougang / Punggol / Sengkang (D19)","8 days ago","Regentville",NA,"Hougang",3.27,"Condo Whole Unit",3200,"980 sqft",980,NA,"99 Years","3 Bed Condo for Rent in Regentville","580",51,40,44,"1, 2, 3 BR",NA,"Fully","High",NA,NA
"108","16 Shunfu Road","2","2","2023","Qingjian Realty (Marymount) Pte Ltd","Ang Mo Kio / Bishan / Thomson (D20)","9 days ago","JadeScape","Marymount MRT","Bishan",6.45,"Condo Whole Unit",5000,"775 sqft",775,NA,"99 Years","2 Bed Condo for Rent in JadeScape","1206",63,27,32,"1, 2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"109","5 Siglap Road","1","2","1986","Mandarin Gardens Pte Ltd","East Coast / Marine Parade (D15)","16 days ago","Mandarin Gardens",NA,"Bedok",4,"Condo Whole Unit",3600,"900 sqft",900,NA,"99 Years","2 Bed Condo for Rent in Mandarin Gardens","1000",NA,NA,NA,"Studio, 1, 2, 3, 4, 5, 6 BR",NA,"Fully","Top","City view",NA
"110","Yarwood Avenue","5","5",NA,NA,"Clementi Park / Upper Bukit Timah (D21)","3 days ago","Kilburn Estate","King Albert Park MRT","Bukit Timah",9.71,"Bungalow",68000,"7,000 sqft (built-up)",7000,NA,"999 Years","5 Bed House for Rent in Kilburn Estate",NA,67,26,32,"5, 6 BR",NA,NA,NA,NA,NA
"111","530 East Coast Road","3","3","1983","Primelands Pte Ltd (Keck Seng & Kuok's)","East Coast / Marine Parade (D15)","1 month ago","Ocean Park",NA,"Bedok",4.05,"Condo Whole Unit",8500,"2,100 sqft",2100,NA,"Freehold","3 Bed Condo for Rent in Ocean Park","298",32,41,34,"3, 4 BR",NA,NA,NA,NA,NA
"112",NA,"3","6",NA,NA,"Bedok / Upper East Coast (D16)","4 days ago",NA,NA,NA,NA,"Semi-Detached House",6500,"5,000 sqft (built-up)",5000,NA,NA,"6 Bed House for Rent in Wiltshire Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,"2","2","1981","HDB","Ang Mo Kio / Bishan / Thomson (D20)","1 month ago","Kebun Baru Link 2",NA,"Ang Mo Kio",4.51,"HDB 3 Rooms",3300,"731 sqft",731,NA,"99 Years","HDB Flat for Rent in 178 Ang Mo Kio Avenue 4",NA,NA,NA,NA,"Studio, 2, 3, 5 BR","2","Partial","High",NA,"North East"
"114","45 Amber Road","1","2","2020","UOL Development (Amber) Pte Ltd","East Coast / Marine Parade (D15)","3 days ago","Amber 45",NA,"Marine Parade",8.63,"Condo Whole Unit",5300,"614 sqft",614,NA,"Freehold","2 Bed Condo for Rent in Amber 45","139",34,33,28,"2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"115",NA,"1","2","1985","HDB","Ang Mo Kio / Bishan / Thomson (D20)","4 days ago","Bishan View","Bishan MRT","Bishan",4.27,"HDB",3200,"750 sqft",750,NA,"99 Years","HDB Flat for Rent in 105 Bishan Street 12",NA,65,23,29,"Studio, 2, 3, 4 BR","2",NA,NA,NA,NA
"116","910 Sims Avenue","1","1","2022","MCL Land Limited","Eunos / Geylang / Paya Lebar (D14)","7 days ago","Parc Esta","Eunos MRT","Geylang",7.59,"Condo Whole Unit",4000,"527 sqft",527,NA,"99 Years","1 Bed Condo for Rent in Parc Esta","1399",NA,NA,NA,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"117","26 Newton Road","2","2","2016","Novelty Corp Pte Ltd","Newton / Novena (D11)","11 days ago","26 Newton","Newton MRT","Novena",7,"Condo Whole Unit",10773,"1,539 sqft",1539,NA,"Freehold","2 Bed Condo for Rent in 26 Newton","180",59,14,20,"Studio, 1, 2, 3 BR",NA,NA,NA,NA,NA
"118","85 West Coast Drive","2","4","2013","Grande-Terre Properties Pte Ltd (City Developments Ltd)","Buona Vista / West Coast / Clementi (D5)","10 days ago","Hundred Trees","Clementi MRT","Clementi",4.2,"Condo Whole Unit",6200,"1,475 sqft",1475,NA,"956 Years","4 Bed Condo for Rent in Hundred Trees","396",86,42,38,"1, 2, 3, 4 BR",NA,NA,NA,NA,NA
"119","Treasure Island","6","6","2010","Ho Bee (Sentosa) Pte Ltd","Harbourfront / Telok Blangah (D4)","6 days ago","Sentosa Cove",NA,NA,4.18,"Semi-Detached House",35000,"11,500 sqft (built-up) / 8,379 sqft (land)",11500,8379,"103 Years","6 Bed House for Rent in Sentosa Cove",NA,104,63,57,"2, 3, 4, 5, 6, 7, 8, 10 BR",NA,NA,NA,NA,NA
"120","151 Holland Road","1","1","2014","Oxley Star Pte Ltd","Tanglin / Holland (D10)","4 hrs ago","Loft @ Holland","Holland Village MRT","Bukit Timah",10.53,"Condo Whole Unit",3400,"323 sqft",323,NA,"Freehold","1 Bed Condo for Rent in Loft @ Holland","40",66,24,26,"1, 2 BR",NA,NA,NA,NA,NA
"121","30 Amber Road","3","3","2011","Macly Pte Ltd","East Coast / Marine Parade (D15)","6 hrs ago","Suites @ Amber",NA,"Marine Parade",4.7,"Condo Whole Unit",4500,"958 sqft",958,NA,"Freehold","3 Bed Condo for Rent in Suites @ Amber","28",NA,NA,NA,"1, 2, 3 BR",NA,NA,"High",NA,NA
"122","914 Sims Avenue","1","1","2022","MCL Land Limited","Eunos / Geylang / Paya Lebar (D14)","12 days ago","Parc Esta","Eunos MRT","Geylang",7.59,"Condo Whole Unit",4000,"527 sqft",527,NA,"99 Years","1 Bed Condo for Rent in Parc Esta","1399",37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"123","581A Upper Changi Road","3","4",NA,NA,"Bedok / Upper East Coast (D16)","2 days ago","Apollo Gardens","Expo MRT","Tampines",3.53,"Apartment Whole Unit",6500,"1,840 sqft",1840,NA,NA,"4 Bed Condo for Rent in Apollo Gardens",NA,26,47,39,"1, 3, 4, 5 BR",NA,NA,NA,NA,NA
"124",NA,"2","2","1975","HDB","East Coast / Marine Parade (D15)","4 days ago","Marine Crescent Ville",NA,"Marine Parade",4.18,"HDB",2900,"694 sqft",694,NA,"99 Years","HDB Flat for Rent in 31 Marine Crescent",NA,33,38,32,"1, 2, 3, 4 BR","2",NA,NA,NA,NA
"125","21 Mccallum Street","1","1","2011","Natwest Development Pte Ltd (Far East Organization)","Boat Quay / Raffles Place / Marina (D1)","6 days ago","The Clift","Telok Ayer MRT",NA,8.7,"Apartment Whole Unit",4400,"506 sqft",506,NA,"99 Years","1 Bed Condo for Rent in The Clift","312",54,23,11,"Studio, 1, 2 BR",NA,NA,NA,NA,NA
"126","28 Choa Chu Kang Street 64","3","3","1999","St Windermere Park Pte Ltd (Singapore Technologies Properties Pte Ltd)","Bukit Batok / Bukit Panjang / Choa Chu Kang (D23)","7 days ago","The Windermere","Yew Tee MRT","Choa Chu Kang",3.3,"Condo Whole Unit",4800,"1,453 sqft",1453,NA,"99 Years","3 Bed Condo for Rent in The Windermere","395",73,41,46,"3, 4 BR",NA,NA,NA,NA,NA
"127","30 Shelford Road","5","3","1984","Point Loma Pte Ltd","Newton / Novena (D11)","1 month ago","Point Loma","Tan Kah Kee MRT","Bukit Timah",2.3,"Condo Whole Unit",6500,"2,831 sqft",2831,NA,"Freehold","3 Bed Condo for Rent in Point Loma","12",66,26,31,"3, 4 BR",NA,"Partial",NA,NA,NA
"128",NA,"2","3","1989",NA,"Boon Lay / Jurong / Tuas (D22)","3 days ago","940 Jurong West Street 91",NA,"Jurong West",2.46,"HDB",3200,"1,302 sqft",1302,NA,NA,"HDB Flat for Rent in 940 Jurong West Street 91","110",NA,NA,NA,NA,"3",NA,NA,NA,NA
"129","902 Sims Avenue","1","1","2022","MCL Land Limited","Eunos / Geylang / Paya Lebar (D14)","2 days ago","Parc Esta","Eunos MRT","Geylang",9.05,"Condo Whole Unit",3800,"420 sqft",420,NA,"99 Years","1 Bed Condo for Rent in Parc Esta","1399",37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"130","11 Nassim Road","3","4","2015",NA,"Tanglin / Holland (D10)","6 days ago","Nassim Ville","Orchard MRT","Tanglin",6.36,"Apartment Whole Unit",14000,"2,200 sqft",2200,NA,"Freehold","4 Bed Condo for Rent in Nassim Ville","21",54,11,24,"2, 3, 4 BR",NA,"Partial",NA,NA,NA
"131","370 Alexandra Road","3","4","1997","Anchor Developments Pte Ltd (Frasers Centrepoint Homes)","Alexandra / Commonwealth (D3)","10 days ago","The Anchorage","Queenstown MRT","Queenstown",4.92,"Condo Whole Unit",9000,"1,830 sqft",1830,NA,"Freehold","4 Bed Condo for Rent in The Anchorage","775",69,30,22,"1, 2, 3, 4 BR",NA,NA,NA,NA,NA
"132","130 Cairnhill Road","1","1","2003","Pyramid Hill Properties Pte Ltd","Orchard / River Valley (D9)","17 days ago","The Edge On Cairnhill","Newton MRT","Newton",12.5,"Apartment Whole Unit",8000,"640 sqft",640,NA,"Freehold","1 Bed Condo for Rent in The Edge On Cairnhill","46",57,13,19,"1, 2, 4, 5 BR",NA,NA,NA,NA,NA
"133","904 Sims Avenue","1","2","2022","MCL Land Limited","Eunos / Geylang / Paya Lebar (D14)","6 days ago","Parc Esta","Eunos MRT","Geylang",8.54,"Condo Whole Unit",4500,"527 sqft",527,NA,"99 Years","2 Bed Condo for Rent in Parc Esta","1399",37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"134","8 Alexandra View","4","4","2009","Capitaland & Lippo Group","Alexandra / Commonwealth (D3)","23 days ago","The Metropolitan Condominium","Redhill MRT","Bukit Merah",5.13,"Condo Whole Unit",14900,"2,907 sqft",2907,NA,"99 Years","4 Bed Condo for Rent in The Metropolitan Condominium","382",61,24,14,"2, 3, 4 BR",NA,NA,NA,NA,NA
"135",NA,"2","3","1995","HDB","Pasir Ris / Tampines (D18)","5 days ago","HDB-Pasir Ris",NA,"Pasir Ris",3.24,"HDB 4 Rooms",3900,"1,205 sqft",1205,NA,"99 Years","HDB Flat for Rent in 704 Pasir Ris Drive 10",NA,34,60,48,"Studio, 1, 2, 3, 4, 5, 6 BR","3","Partial",NA,NA,NA
"136","11 Paya Lebar Road","1","1","2014",NA,"Eunos / Geylang / Paya Lebar (D14)","3 days ago","Lotus at Paya Lebar (East Wing)","Paya Lebar MRT","Geylang",11.56,"Condo Whole Unit",4880,"422 sqft",422,NA,"Freehold","1 Bed Condo for Rent in Lotus at Paya Lebar (East Wing)","99",43,27,19,"Studio, 1, 2, 3, 4 BR",NA,"Fully","Mid","Greenery view","East"
"137",NA,"2","2","1981","HDB","Farrer Park / Serangoon Rd (D8)","5 days ago","HDB-Kallang/Whampoa","Lavender MRT","Kallang",4.28,"HDB 2 Rooms",2999,"700 sqft",700,NA,"99 Years","HDB Flat for Rent in 801 French Road",NA,NA,NA,NA,"1, 2, 3, 4, 5, 6 BR","2",NA,NA,NA,NA
"138","246 Telok Kurau Road","1","1","2021","Grow99 Pte Ltd","East Coast / Marine Parade (D15)","8 days ago","Residence Twenty-Two","Marine Terrace MRT","Bedok",7.27,"Condo Whole Unit",3600,"495 sqft",495,NA,"Freehold","1 Bed Condo for Rent in Residence Twenty-Two","22",42,40,33,"1, 2, 3, 4 BR",NA,NA,NA,NA,NA
"139","Brizay Park","8","8",NA,NA,"Tanglin / Holland (D10)","13 days ago","Brizay Park","King Albert Park MRT","Bukit Timah",5.84,"Good Class Bungalow",150000,"11,700 sqft (built-up) / 25,700 sqft (land)",11700,25700,NA,"8 Bed House for Rent in Brizay Park",NA,70,29,35,"3, 4, 5, 6, 7, 8, 9, 10 BR",NA,"Partial",NA,NA,NA
"140","320 Balestier Road","1","1",NA,"Coliwoo Balestier (LHN)","Balestier / Toa Payoh (D12)","1 month ago","Coliwoo Balestier 320",NA,"Novena",11.54,"Condo Whole Unit",3000,"260 sqft",260,NA,NA,"Studio Condo for Rent in Coliwoo Balestier 320",NA,NA,NA,NA,"Studio, 1 BR",NA,"Fully","Mid",NA,NA
"141","3 Bideford Road","3","2","1996","Tararone Investment Pte Ltd, Topaz Realty Pte Ltd","Orchard / River Valley (D9)","3 days ago","Richmond Park","Orchard MRT","Newton",5.24,"Condo Whole Unit",6600,"1,259 sqft",1259,NA,"Freehold","2 Bed Condo for Rent in Richmond Park","159",52,8,18,"1, 2, 3 BR",NA,NA,NA,NA,NA
"142","11 Paya Lebar Road","3","4","2014",NA,"Eunos / Geylang / Paya Lebar (D14)","4 days ago","Lotus at Paya Lebar (East Wing)","Paya Lebar MRT","Geylang",5.86,"Condo Whole Unit",7700,"1,313 sqft",1313,NA,"Freehold","4 Bed Condo for Rent in Lotus at Paya Lebar (East Wing)","99",43,27,19,"Studio, 1, 2, 3, 4 BR",NA,NA,NA,NA,NA
"143","Pasir Panjang Road","5","4","2010","Heeton Residence Pte Ltd","Buona Vista / West Coast / Clementi (D5)","4 days ago","Juluca",NA,"Queenstown",2.64,"Townhouse",8000,"3,034 sqft (built-up)",3034,NA,"Freehold","4 Bed House for Rent in Juluca","17",85,45,41,"4, 5, 6 BR",NA,NA,NA,NA,NA
"144","7 Robin Drive","1","1","2016","Sing Holdings (Robin) Pte Ltd","Tanglin / Holland (D10)","1 month ago","Robin Residences","Stevens MRT","Tanglin",7.8,"Condo Whole Unit",3200,"410 sqft",410,NA,"Freehold","1 Bed Condo for Rent in Robin Residences","134",NA,NA,NA,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"145","123 Rangoon Road","2","2","2011","Macly Assets Pte Ltd","Farrer Park / Serangoon Rd (D8)","1 hr ago","Suites 123","Farrer Park MRT","Kallang",7.38,"Condo Whole Unit",3500,"474 sqft",474,NA,"Freehold","2 Bed Condo for Rent in Suites 123","37",59,20,20,"2, 8 BR",NA,"Fully",NA,NA,"North East"
"146",NA,"2","3","1985","HDB","Pasir Ris / Tampines (D18)","11 days ago","Sun Plaza View","Tampines MRT","Tampines",3.25,"HDB 4 Rooms",3500,"1,076 sqft",1076,NA,"99 Years","HDB Flat for Rent in 425 Tampines Street 41",NA,36,55,47,"2, 3, 4, 6 BR","3","Fully",NA,NA,NA
"147","253 Pasir Panjang Road","1","1","2010","Fragrance Properties Pte Ltd","Buona Vista / West Coast / Clementi (D5)","6 days ago","Parc Imperial","Haw Par Villa MRT","Queenstown",7.07,"Condo Whole Unit",3500,"495 sqft",495,NA,"Freehold","1 Bed Condo for Rent in Parc Imperial","138",74,33,29,"Studio, 1, 2, 3 BR",NA,NA,NA,NA,NA
"148","8 Enggor Street","1","1","2015","Arcadia Development Pte. Ltd.","Chinatown / Tanjong Pagar (D2)","1 month ago","Skysuites @ Anson","Tanjong Pagar MRT",NA,12.33,"Condo Whole Unit",4500,"365 sqft",365,NA,"99 Years","1 Bed Condo for Rent in Skysuites @ Anson","360",57,22,10,"Studio, 1, 2, 3 BR",NA,NA,NA,NA,NA
"149","108 Keng Lee Road","1","1","1982",NA,"Farrer Park / Serangoon Rd (D8)","10 days ago","Keng Lee View","Novena MRT","Kallang",7,"Apartment Whole Unit",2799,"400 sqft",400,NA,"Freehold","1 Bed Condo for Rent in Keng Lee View","24",61,25,27,"1, 2 BR",NA,"Partial",NA,NA,NA
